round,client_id,mse,r2,loss,DP_noise_multiplier,DP_clip_norm
1,1,3409.771239378219,-3.4382360822371467,3409.7711614793348,0.05,2.0
1,2,3807.575819532457,-4.89653080858551,3807.575832201087,0.05,2.0
1,3,3047.227212498734,-4.611510250113431,3047.2272922967068,0.05,2.0
1,4,3603.1747757957537,-5.049224244637886,3603.1747795183633,0.05,2.0
2,1,3288.472143759623,-3.2803504104067525,3288.4722519741263,0.05,2.0
2,2,3676.245166248372,-4.693148058010011,3676.2452021059785,0.05,2.0
2,3,2930.7074025544016,-4.3969374394080125,2930.7073961483534,0.05,2.0
2,4,3455.4677524671256,-4.801244903578723,3455.467738200709,0.05,2.0
3,1,3138.6902294850897,-3.0853908516179915,3138.6902511760754,0.05,2.0
3,2,3510.2647058282423,-4.436105534136992,3510.264605978261,0.05,2.0
3,3,2783.881186220161,-4.126554970202723,2783.8812268985216,0.05,2.0
3,4,3291.1694486210654,-4.525411133411697,3291.169529236469,0.05,2.0
4,1,2844.589897737067,-2.7025831461954977,2844.589885752688,0.05,2.0
4,2,3178.139111671991,-3.921765468151758,3178.1390327785325,0.05,2.0
4,3,2499.357181377173,-3.6026001554678784,2499.357198735719,0.05,2.0
4,4,2950.4582432593616,-3.9534048855497286,2950.458199097938,0.05,2.0
5,1,2426.375028002214,-2.1582251248861843,2426.375005250336,0.05,2.0
5,2,2705.458652678707,-3.189757749547094,2705.4586553158965,0.05,2.0
5,3,2086.290284913991,-2.841931862017918,2086.290283203125,0.05,2.0
5,4,2486.3272428863843,-3.1741941409018537,2486.327289384665,0.05,2.0
6,1,2239.3197388852395,-1.9147496905389678,2239.319766465054,0.05,2.0
6,2,2503.3431572589966,-2.8767553821297094,2503.3431874150815,0.05,2.0
6,3,1913.7750032825413,-2.5242426305732226,1913.7750441028227,0.05,2.0
6,4,2289.932150216093,-2.844474371522458,2289.932083601804,0.05,2.0
7,1,1982.7957086001907,-1.5808521568793168,1982.7957304267472,0.05,2.0
7,2,2201.12889793729,-2.4087369432734844,2201.128863790761,0.05,2.0
7,3,1663.4942661654536,-2.0633472578954404,1663.4942836966566,0.05,2.0
7,4,2010.5197370222193,-2.37538018394676,2010.5196445111146,0.05,2.0
8,1,1660.7436198657904,-1.1616618064904447,1660.743628717238,0.05,2.0
8,2,1838.7368796980509,-1.8475253478611715,1838.73681640625,0.05,2.0
8,3,1362.54604004558,-1.5091470168703127,1362.5460152574765,0.05,2.0
8,4,1657.5696302662566,-1.7828265400663645,1657.5696127980025,0.05,2.0
9,1,1396.6528541823354,-0.8179152373054455,1396.6528950352822,0.05,2.0
9,2,1511.3821803751407,-1.340573638589678,1511.382133152174,0.05,2.0
9,3,1107.4907758821698,-1.039459287866101,1107.4907423450102,0.05,2.0
9,4,1362.6532494314063,-1.287703368947628,1362.6532347374355,0.05,2.0
10,1,1164.5068423342486,-0.5157486889362028,1164.5068372500841,0.05,2.0
10,2,1212.588562706406,-0.8778525122093885,1212.5885381283967,0.05,2.0
10,3,884.8812889192234,-0.6295208977318327,884.8812734952537,0.05,2.0
10,4,1090.4785721074736,-0.8307603230803031,1090.4785949077802,0.05,2.0
